Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.00000000e-08
Record Length,2500
Zero Index,271.50000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-2.17200000e-05,1.44531250e-03
-2.16400000e-05,1.42968750e-03
-2.15600000e-05,1.75781250e-03
-2.14800000e-05,2.03906250e-03
-2.14000000e-05,2.13281250e-03
-2.13200000e-05,1.38281250e-03
-2.12400000e-05,8.59375000e-04
-2.11600000e-05,8.12500000e-04
-2.10800000e-05,1.34375000e-03
-2.10000000e-05,1.70312500e-03
-2.09200000e-05,1.80468750e-03
-2.08400000e-05,1.68750000e-03
-2.07600000e-05,1.64062500e-03
-2.06800000e-05,1.14843750e-03
-2.06000000e-05,1.09375000e-03
-2.05200000e-05,1.10937500e-03
-2.04400000e-05,1.47656250e-03
-2.03600000e-05,1.82031250e-03
-2.02800000e-05,2.27343750e-03
-2.02000000e-05,1.83593750e-03
-2.01200000e-05,1.25000000e-03
-2.00400000e-05,8.28125000e-04
-1.99600000e-05,1.27343750e-03
-1.98800000e-05,1.81250000e-03
-1.98000000e-05,2.03125000e-03
-1.97200000e-05,1.62500000e-03
-1.96400000e-05,1.06250000e-03
-1.95600000e-05,7.34375000e-04
-1.94800000e-05,1.18750000e-03
-1.94000000e-05,1.77343750e-03
-1.93200000e-05,2.25781250e-03
-1.92400000e-05,2.04687500e-03
-1.91600000e-05,1.40625000e-03
-1.90800000e-05,1.08593750e-03
-1.90000000e-05,1.27343750e-03
-1.89200000e-05,1.49218750e-03
-1.88400000e-05,1.64843750e-03
-1.87600000e-05,1.82812500e-03
-1.86800000e-05,1.47656250e-03
-1.86000000e-05,9.68750000e-04
-1.85200000e-05,9.37500000e-04
-1.84400000e-05,1.03125000e-03
-1.83600000e-05,1.23437500e-03
-1.82800000e-05,1.48437500e-03
-1.82000000e-05,1.61718750e-03
-1.81200000e-05,1.52343750e-03
-1.80400000e-05,1.42968750e-03
-1.79600000e-05,1.75781250e-03
-1.78800000e-05,2.09375000e-03
-1.78000000e-05,2.13281250e-03
-1.77200000e-05,1.56250000e-03
-1.76400000e-05,9.92187500e-04
-1.75600000e-05,7.57812500e-04
-1.74800000e-05,1.40625000e-03
-1.74000000e-05,1.56250000e-03
-1.73200000e-05,2.00000000e-03
-1.72400000e-05,1.87500000e-03
-1.71600000e-05,1.39062500e-03
-1.70800000e-05,1.00000000e-03
-1.70000000e-05,9.60937500e-04
-1.69200000e-05,1.18750000e-03
-1.68400000e-05,1.54687500e-03
-1.67600000e-05,1.93750000e-03
-1.66800000e-05,2.18750000e-03
-1.66000000e-05,1.75000000e-03
-1.65200000e-05,8.59375000e-04
-1.64400000e-05,4.76562500e-04
-1.63600000e-05,1.59375000e-03
-1.62800000e-05,2.21093750e-03
-1.62000000e-05,2.18750000e-03
-1.61200000e-05,1.50781250e-03
-1.60400000e-05,8.51562500e-04
-1.59600000e-05,4.21875000e-04
-1.58800000e-05,9.14062500e-04
-1.58000000e-05,1.71093750e-03
-1.57200000e-05,2.42968750e-03
-1.56400000e-05,2.39062500e-03
-1.55600000e-05,1.60937500e-03
-1.54800000e-05,9.92187500e-04
-1.54000000e-05,8.98437500e-04
-1.53200000e-05,1.15625000e-03
-1.52400000e-05,1.58593750e-03
-1.51600000e-05,1.84375000e-03
-1.50800000e-05,1.56250000e-03
-1.50000000e-05,1.34375000e-03
-1.49200000e-05,1.22656250e-03
-1.48400000e-05,1.06250000e-03
-1.47600000e-05,1.01562500e-03
-1.46800000e-05,1.13281250e-03
-1.46000000e-05,1.37500000e-03
-1.45200000e-05,1.42187500e-03
-1.44400000e-05,1.71093750e-03
-1.43600000e-05,1.81250000e-03
-1.42800000e-05,2.03125000e-03
-1.42000000e-05,1.81250000e-03
-1.41200000e-05,1.28125000e-03
-1.40400000e-05,7.57812500e-04
-1.39600000e-05,8.04687500e-04
-1.38800000e-05,1.32031250e-03
-1.38000000e-05,1.64843750e-03
-1.37200000e-05,1.95312500e-03
-1.36400000e-05,1.75000000e-03
-1.35600000e-05,1.55468750e-03
-1.34800000e-05,1.10156250e-03
-1.34000000e-05,1.04687500e-03
-1.33200000e-05,1.01562500e-03
-1.32400000e-05,1.56250000e-03
-1.31600000e-05,2.01562500e-03
-1.30800000e-05,2.16406250e-03
-1.30000000e-05,1.76562500e-03
-1.29200000e-05,9.29687500e-04
-1.28400000e-05,8.75000000e-04
-1.27600000e-05,1.25781250e-03
-1.26800000e-05,1.98437500e-03
-1.26000000e-05,2.07812500e-03
-1.25200000e-05,1.64062500e-03
-1.24400000e-05,1.14843750e-03
-1.23600000e-05,7.96875000e-04
-1.22800000e-05,1.08593750e-03
-1.22000000e-05,1.64843750e-03
-1.21200000e-05,2.10937500e-03
-1.20400000e-05,2.17187500e-03
-1.19600000e-05,1.53906250e-03
-1.18800000e-05,1.05468750e-03
-1.18000000e-05,1.22656250e-03
-1.17200000e-05,1.46093750e-03
-1.16400000e-05,1.87500000e-03
-1.15600000e-05,1.82812500e-03
-1.14800000e-05,1.40625000e-03
-1.14000000e-05,1.17187500e-03
-1.13200000e-05,1.00781250e-03
-1.12400000e-05,1.00000000e-03
-1.11600000e-05,1.17187500e-03
-1.10800000e-05,1.44531250e-03
