Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-07
Record Length,6250
Zero Index,680.25000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-1.08840000e-04,-1.71875000e-03
-1.08680000e-04,-1.04375000e-03
-1.08520000e-04,-1.98750000e-03
-1.08360000e-04,-2.07656250e-03
-1.08200000e-04,-1.21250000e-03
-1.08040000e-04,-2.02656250e-03
-1.07880000e-04,-2.27500000e-03
-1.07720000e-04,-1.17343750e-03
-1.07560000e-04,-1.38281250e-03
-1.07400000e-04,-2.01718750e-03
-1.07240000e-04,-2.00781250e-03
-1.07080000e-04,-9.73437500e-04
-1.06920000e-04,-2.06250000e-03
-1.06760000e-04,-2.37968750e-03
-1.06600000e-04,-1.52968750e-03
-1.06440000e-04,-1.55781250e-03
-1.06280000e-04,-1.36250000e-03
-1.06120000e-04,-1.54375000e-03
-1.05960000e-04,-1.92187500e-03
-1.05800000e-04,-1.68125000e-03
-1.05640000e-04,-1.76562500e-03
-1.05480000e-04,-2.07968750e-03
-1.05320000e-04,-1.95937500e-03
-1.05160000e-04,-8.37500000e-04
-1.05000000e-04,-2.06093750e-03
-1.04840000e-04,-2.16718750e-03
-1.04680000e-04,-7.34375000e-04
-1.04520000e-04,-2.16718750e-03
-1.04360000e-04,-2.25000000e-03
-1.04200000e-04,-1.19687500e-03
-1.04040000e-04,-1.46093750e-03
-1.03880000e-04,-1.80156250e-03
-1.03720000e-04,-1.63906250e-03
-1.03560000e-04,-1.76250000e-03
-1.03400000e-04,-1.35312500e-03
-1.03240000e-04,-2.25625000e-03
-1.03080000e-04,-1.87812500e-03
-1.02920000e-04,-1.52968750e-03
-1.02760000e-04,-1.24218750e-03
-1.02600000e-04,-1.34843750e-03
-1.02440000e-04,-1.71250000e-03
-1.02280000e-04,-2.09843750e-03
-1.02120000e-04,-1.44687500e-03
-1.01960000e-04,-1.65312500e-03
-1.01800000e-04,-2.21250000e-03
-1.01640000e-04,-1.36718750e-03
-1.01480000e-04,-1.05937500e-03
-1.01320000e-04,-1.97343750e-03
-1.01160000e-04,-1.77187500e-03
-1.01000000e-04,-1.41406250e-03
-1.00840000e-04,-2.04531250e-03
-1.00680000e-04,-1.92968750e-03
-1.00520000e-04,-9.06250000e-04
-1.00360000e-04,-1.35312500e-03
-1.00200000e-04,-1.94062500e-03
-1.00040000e-04,-1.88125000e-03
-9.98800000e-05,-8.79687500e-04
-9.97200000e-05,-1.96250000e-03
-9.95600000e-05,-2.32031250e-03
-9.94000000e-05,-1.64218750e-03
-9.92400000e-05,-1.40625000e-03
-9.90800000e-05,-1.22031250e-03
-9.89200000e-05,-1.24531250e-03
-9.87600000e-05,-1.88125000e-03
-9.86000000e-05,-1.82500000e-03
-9.84400000e-05,-1.52968750e-03
-9.82800000e-05,-1.86250000e-03
-9.81200000e-05,-1.92500000e-03
-9.79600000e-05,-8.64062500e-04
-9.78000000e-05,-1.43281250e-03
-9.76400000e-05,-2.51406250e-03
-9.74800000e-05,-1.17812500e-03
-9.73200000e-05,-1.71718750e-03
-9.71600000e-05,-2.12031250e-03
-9.70000000e-05,-1.43125000e-03
-9.68400000e-05,-1.03125000e-03
-9.66800000e-05,-1.74687500e-03
-9.65200000e-05,-1.87812500e-03
-9.63600000e-05,-1.45937500e-03
-9.62000000e-05,-1.07343750e-03
-9.60400000e-05,-2.22500000e-03
-9.58800000e-05,-1.91093750e-03
-9.57200000e-05,-1.28750000e-03
-9.55600000e-05,-1.20312500e-03
-9.54000000e-05,-1.39687500e-03
-9.52400000e-05,-1.74531250e-03
-9.50800000e-05,-1.79531250e-03
-9.49200000e-05,-1.38437500e-03
-9.47600000e-05,-1.57812500e-03
-9.46000000e-05,-2.06250000e-03
-9.44400000e-05,-1.30000000e-03
-9.42800000e-05,-7.51562500e-04
-9.41200000e-05,-2.15000000e-03
-9.39600000e-05,-1.51875000e-03
-9.38000000e-05,-9.76562500e-04
-9.36400000e-05,-2.08906250e-03
-9.34800000e-05,-1.73906250e-03
-9.33200000e-05,-9.14062500e-04
-9.31600000e-05,-1.14687500e-03
-9.30000000e-05,-1.80312500e-03
-9.28400000e-05,-1.59843750e-03
-9.26800000e-05,-8.57812500e-04
-9.25200000e-05,-1.66093750e-03
-9.23600000e-05,-1.97500000e-03
-9.22000000e-05,-1.49687500e-03
-9.20400000e-05,-1.40937500e-03
-9.18800000e-05,-1.16562500e-03
-9.17200000e-05,-1.01562500e-03
-9.15600000e-05,-1.86875000e-03
-9.14000000e-05,-1.48125000e-03
-9.12400000e-05,-1.39687500e-03
-9.10800000e-05,-1.84687500e-03
-9.09200000e-05,-1.67187500e-03
-9.07600000e-05,-3.29687500e-04
-9.06000000e-05,-1.55156250e-03
-9.04400000e-05,-1.83281250e-03
-9.02800000e-05,-8.62500000e-04
-9.01200000e-05,-1.80937500e-03
-8.99600000e-05,-1.68906250e-03
-8.98000000e-05,-1.06406250e-03
-8.96400000e-05,-9.39062500e-04
-8.94800000e-05,-1.38906250e-03
-8.93200000e-05,-1.39843750e-03
-8.91600000e-05,-1.18437500e-03
-8.90000000e-05,-1.01250000e-03
-8.88400000e-05,-1.91406250e-03
-8.86800000e-05,-1.54687500e-03
