Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-08
Record Length,10000
Zero Index,1089.00000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-4.35600000e-05,7.09375000e-04
-4.35200000e-05,4.82812500e-04
-4.34800000e-05,3.17187500e-04
-4.34400000e-05,3.26562500e-04
-4.34000000e-05,2.23437500e-04
-4.33600000e-05,1.89062500e-04
-4.33200000e-05,1.76562500e-04
-4.32800000e-05,1.70312500e-04
-4.32400000e-05,2.42187500e-04
-4.32000000e-05,3.12500000e-04
-4.31600000e-05,6.45312500e-04
-4.31200000e-05,8.81250000e-04
-4.30800000e-05,1.03906250e-03
-4.30400000e-05,1.06875000e-03
-4.30000000e-05,9.59375000e-04
-4.29600000e-05,7.07812500e-04
-4.29200000e-05,3.89062500e-04
-4.28800000e-05,1.12500000e-04
-4.28400000e-05,-2.65625000e-05
-4.28000000e-05,4.68750000e-06
-4.27600000e-05,7.81250000e-05
-4.27200000e-05,2.10937500e-04
-4.26800000e-05,3.48437500e-04
-4.26400000e-05,5.82812500e-04
-4.26000000e-05,6.39062500e-04
-4.25600000e-05,7.50000000e-04
-4.25200000e-05,6.54687500e-04
-4.24800000e-05,7.15625000e-04
-4.24400000e-05,6.68750000e-04
-4.24000000e-05,6.43750000e-04
-4.23600000e-05,4.70312500e-04
-4.23200000e-05,2.73437500e-04
-4.22800000e-05,2.29687500e-04
-4.22400000e-05,2.75000000e-04
-4.22000000e-05,3.34375000e-04
-4.21600000e-05,3.40625000e-04
-4.21200000e-05,4.84375000e-04
-4.20800000e-05,5.04687500e-04
-4.20400000e-05,6.09375000e-04
-4.20000000e-05,5.82812500e-04
-4.19600000e-05,6.85937500e-04
-4.19200000e-05,6.96875000e-04
-4.18800000e-05,7.89062500e-04
-4.18400000e-05,7.03125000e-04
-4.18000000e-05,6.18750000e-04
-4.17600000e-05,4.25000000e-04
-4.17200000e-05,2.85937500e-04
-4.16800000e-05,-1.71875000e-05
-4.16400000e-05,-5.78125000e-05
-4.16000000e-05,9.84375000e-05
-4.15600000e-05,4.15625000e-04
-4.15200000e-05,7.07812500e-04
-4.14800000e-05,9.28125000e-04
-4.14400000e-05,9.03125000e-04
-4.14000000e-05,7.82812500e-04
-4.13600000e-05,6.29687500e-04
-4.13200000e-05,4.01562500e-04
-4.12800000e-05,2.32812500e-04
-4.12400000e-05,2.53125000e-04
-4.12000000e-05,2.89062500e-04
-4.11600000e-05,4.60937500e-04
-4.11200000e-05,5.23437500e-04
-4.10800000e-05,7.29687500e-04
-4.10400000e-05,5.89062500e-04
-4.10000000e-05,5.57812500e-04
-4.09600000e-05,3.45312500e-04
-4.09200000e-05,2.67187500e-04
-4.08800000e-05,1.76562500e-04
-4.08400000e-05,1.85937500e-04
-4.08000000e-05,1.07812500e-04
-4.07600000e-05,4.46875000e-04
-4.07200000e-05,6.37500000e-04
-4.06800000e-05,9.65625000e-04
-4.06400000e-05,1.06093750e-03
-4.06000000e-05,1.13593750e-03
-4.05600000e-05,9.82812500e-04
-4.05200000e-05,8.12500000e-04
-4.04800000e-05,5.18750000e-04
-4.04400000e-05,3.18750000e-04
-4.04000000e-05,1.93750000e-04
-4.03600000e-05,1.18750000e-04
-4.03200000e-05,2.50000000e-05
-4.02800000e-05,-2.81250000e-05
-4.02400000e-05,9.06250000e-05
-4.02000000e-05,2.40625000e-04
-4.01600000e-05,4.57812500e-04
-4.01200000e-05,6.18750000e-04
-4.00800000e-05,8.23437500e-04
-4.00400000e-05,1.07343750e-03
-4.00000000e-05,1.07187500e-03
-3.99600000e-05,1.03437500e-03
-3.99200000e-05,8.21875000e-04
-3.98800000e-05,7.34375000e-04
-3.98400000e-05,4.57812500e-04
-3.98000000e-05,2.14062500e-04
-3.97600000e-05,9.68750000e-05
-3.97200000e-05,6.56250000e-05
-3.96800000e-05,2.01562500e-04
-3.96400000e-05,2.34375000e-04
-3.96000000e-05,3.82812500e-04
-3.95600000e-05,4.62500000e-04
-3.95200000e-05,6.39062500e-04
-3.94800000e-05,6.82812500e-04
-3.94400000e-05,7.87500000e-04
-3.94000000e-05,8.12500000e-04
-3.93600000e-05,8.10937500e-04
-3.93200000e-05,6.81250000e-04
-3.92800000e-05,6.48437500e-04
-3.92400000e-05,4.46875000e-04
-3.92000000e-05,3.26562500e-04
-3.91600000e-05,2.09375000e-04
-3.91200000e-05,1.70312500e-04
-3.90800000e-05,1.43750000e-04
-3.90400000e-05,3.75000000e-04
-3.90000000e-05,5.26562500e-04
-3.89600000e-05,8.29687500e-04
-3.89200000e-05,7.79687500e-04
-3.88800000e-05,7.89062500e-04
-3.88400000e-05,7.28125000e-04
-3.88000000e-05,7.15625000e-04
-3.87600000e-05,6.35937500e-04
-3.87200000e-05,5.14062500e-04
-3.86800000e-05,5.50000000e-04
-3.86400000e-05,5.59375000e-04
-3.86000000e-05,4.15625000e-04
-3.85600000e-05,3.53125000e-04
-3.85200000e-05,2.84375000e-04
-3.84800000e-05,2.23437500e-04
-3.84400000e-05,1.42187500e-04
-3.84000000e-05,2.28125000e-04
-3.83600000e-05,6.10937500e-04
-3.83200000e-05,9.28125000e-04
-3.82800000e-05,1.10781250e-03
-3.82400000e-05,1.18750000e-03
