Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.00000000e-07
Record Length,5000
Zero Index,399.00000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-3.19200000e-04,8.66625000e-01
-3.18400000e-04,8.66781250e-01
-3.17600000e-04,8.67093750e-01
-3.16800000e-04,8.68062500e-01
-3.16000000e-04,8.67343750e-01
-3.15200000e-04,8.68343750e-01
-3.14400000e-04,8.67437500e-01
-3.13600000e-04,8.67531250e-01
-3.12800000e-04,8.67906250e-01
-3.12000000e-04,8.67812500e-01
-3.11200000e-04,8.67937500e-01
-3.10400000e-04,8.67906250e-01
-3.09600000e-04,8.68125000e-01
-3.08800000e-04,8.67906250e-01
-3.08000000e-04,8.67781250e-01
-3.07200000e-04,8.67187500e-01
-3.06400000e-04,8.66781250e-01
-3.05600000e-04,8.67062500e-01
-3.04800000e-04,8.66312500e-01
-3.04000000e-04,8.66687500e-01
-3.03200000e-04,8.66937500e-01
-3.02400000e-04,8.67718750e-01
-3.01600000e-04,8.67500000e-01
-3.00800000e-04,8.67687500e-01
-3.00000000e-04,8.67093750e-01
-2.99200000e-04,8.67156250e-01
-2.98400000e-04,8.67343750e-01
-2.97600000e-04,8.67218750e-01
-2.96800000e-04,8.67687500e-01
-2.96000000e-04,8.67937500e-01
-2.95200000e-04,8.68125000e-01
-2.94400000e-04,8.67468750e-01
-2.93600000e-04,8.67812500e-01
-2.92800000e-04,8.67625000e-01
-2.92000000e-04,8.67281250e-01
-2.91200000e-04,8.67468750e-01
-2.90400000e-04,8.66843750e-01
-2.89600000e-04,8.66656250e-01
-2.88800000e-04,8.67375000e-01
-2.88000000e-04,8.67218750e-01
-2.87200000e-04,8.67093750e-01
-2.86400000e-04,8.67656250e-01
-2.85600000e-04,8.67187500e-01
-2.84800000e-04,8.67343750e-01
-2.84000000e-04,8.67406250e-01
-2.83200000e-04,8.67250000e-01
-2.82400000e-04,8.67562500e-01
-2.81600000e-04,8.67687500e-01
-2.80800000e-04,8.68125000e-01
-2.80000000e-04,8.68343750e-01
-2.79200000e-04,8.68625000e-01
-2.78400000e-04,8.67625000e-01
-2.77600000e-04,8.67062500e-01
-2.76800000e-04,8.67250000e-01
-2.76000000e-04,8.67000000e-01
-2.75200000e-04,8.67437500e-01
-2.74400000e-04,8.67125000e-01
-2.73600000e-04,8.67437500e-01
-2.72800000e-04,8.66875000e-01
-2.72000000e-04,8.67781250e-01
-2.71200000e-04,8.67093750e-01
-2.70400000e-04,8.66781250e-01
-2.69600000e-04,8.67000000e-01
-2.68800000e-04,8.67000000e-01
-2.68000000e-04,8.67125000e-01
-2.67200000e-04,8.67500000e-01
-2.66400000e-04,8.67562500e-01
-2.65600000e-04,8.67968750e-01
-2.64800000e-04,8.68156250e-01
-2.64000000e-04,8.67687500e-01
-2.63200000e-04,8.67500000e-01
-2.62400000e-04,8.68000000e-01
-2.61600000e-04,8.67375000e-01
-2.60800000e-04,8.67281250e-01
-2.60000000e-04,8.67812500e-01
-2.59200000e-04,8.67750000e-01
-2.58400000e-04,8.67625000e-01
-2.57600000e-04,8.67937500e-01
-2.56800000e-04,8.66562500e-01
-2.56000000e-04,8.66875000e-01
-2.55200000e-04,8.66562500e-01
-2.54400000e-04,8.66968750e-01
-2.53600000e-04,8.66687500e-01
-2.52800000e-04,8.67218750e-01
-2.52000000e-04,8.67781250e-01
-2.51200000e-04,8.67281250e-01
-2.50400000e-04,8.67562500e-01
-2.49600000e-04,8.67093750e-01
-2.48800000e-04,8.67312500e-01
-2.48000000e-04,8.67906250e-01
-2.47200000e-04,8.67343750e-01
-2.46400000e-04,8.67781250e-01
-2.45600000e-04,8.67781250e-01
-2.44800000e-04,8.68281250e-01
-2.44000000e-04,8.67500000e-01
-2.43200000e-04,8.68093750e-01
-2.42400000e-04,8.67687500e-01
-2.41600000e-04,8.67937500e-01
-2.40800000e-04,8.67218750e-01
-2.40000000e-04,8.66906250e-01
-2.39200000e-04,8.67125000e-01
-2.38400000e-04,8.67812500e-01
-2.37600000e-04,8.67531250e-01
-2.36800000e-04,8.67375000e-01
-2.36000000e-04,8.67906250e-01
-2.35200000e-04,8.67000000e-01
-2.34400000e-04,8.67125000e-01
-2.33600000e-04,8.67312500e-01
-2.32800000e-04,8.67343750e-01
-2.32000000e-04,8.67500000e-01
-2.31200000e-04,8.68062500e-01
-2.30400000e-04,8.68000000e-01
-2.29600000e-04,8.67468750e-01
-2.28800000e-04,8.68593750e-01
-2.28000000e-04,8.67343750e-01
-2.27200000e-04,8.67156250e-01
-2.26400000e-04,8.67843750e-01
-2.25600000e-04,8.67187500e-01
-2.24800000e-04,8.67343750e-01
-2.24000000e-04,8.67406250e-01
-2.23200000e-04,8.67218750e-01
-2.22400000e-04,8.67312500e-01
-2.21600000e-04,8.67625000e-01
-2.20800000e-04,8.67093750e-01
-2.20000000e-04,8.67062500e-01
-2.19200000e-04,8.66843750e-01
-2.18400000e-04,8.67031250e-01
-2.17600000e-04,8.67218750e-01
-2.16800000e-04,8.67468750e-01
-2.16000000e-04,8.68187500e-01
-2.15200000e-04,8.67781250e-01
-2.14400000e-04,8.68562500e-01
-2.13600000e-04,8.67968750e-01
-2.12800000e-04,8.67500000e-01
